NAME	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
A2M.AS1	1	1	1	1	1	1	1	1	1	1	1	29.4991218783367	1	1	1	1	1	1	1	1	1	1	30.7185651876727
AAAS	34.1460278442631	1	16.3145925263856	19.8325431887418	1	1	1	1	45.0700180854876	1	1	31.7778272619409	31.3730790917026	1	1	1	1	1	1	21.9187173079227	11.8681501904613	12.2421331345187	89.9809392113908
AAMDC	1	1	1	27.3575064648343	1	1	1	1	1	1	1	11.8485467528924	1	1	1	1	1	1	1	16.7875947739506	15.6903418986235	10.1129651398662	1
AARS1	167.515198618327	60.6008177555877	51.9486890844694	13.9885985076827	1	1	36.3280820885101	1	32.3309759328422	1	1	35.366985736942	43.5722825641765	23.3982310874186	49.3784346652656	1	1	1	22.4674668067055	63.3462521751643	1	29.0746241526714	45.6707763780934
AASS	1	1	1	1	1	1	1	1	1	1	1	53.7148869983402	1	1	1	1	1	1	1	1	1	1	1
AATBC	1	1	1	11.5580929761471	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.2849518152694	1	1	1	1
AATK	1	1	1	1	34.4001092094238	49.8447967957012	1	15.2475777000402	1	1	47.1317704470309	1	1	1	1	95.5376093733747	1	15.7606088948431	1	1	27.3791798951528	1	1
ABAT	1	1	1	19.5230641208459	36.6576632206478	36.9452207294556	17.8352868390173	22.0088437757624	1	1	56.116755683897	16.8459419401801	1	1	20.1159461038292	1	1	17.6948720911026	12.820942787392	1	27.029064167725	8.85536390581915	1
ABCA1	1	1	1	17.8397199468775	56.3893105454083	118.209239737268	1	19.8282367025984	1	56.3280182553208	171.58435731239	1	1	1	1	128.996806855883	1	1	87.0387241733084	1	61.9051681987654	1	1
ABCA13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	168.060545673205	1	212.234446774102	1	1	1
ABCA2	1	1	21.1406774088473	1	1	1	18.1393737267744	1	1	1	1	19.0780537252277	1	43.8750573068863	41.1925132006915	55.4128388248712	1	1	1	1	1	1	45.2593040323529
ABCA5	11.5975514228524	1	12.7719790870744	1	1	1	18.6630315835394	1	1	1	1	16.6381079672066	1	24.9680759683828	40.041203652481	1	1	14.4955695689868	1	29.3841429049547	1	1	1
ABCA7	39.3712649685588	30.68578630999	15.8949410752105	21.2653805180603	1	49.0930215705688	31.7442755680702	32.1133754335911	48.5013690485211	115.226711832316	125.887372173099	10.4228075064136	23.7850494610526	31.3981550705039	18.1437115690328	69.5979010656166	500.273600146779	43.7258671671669	40.2904450462127	95.2048471877126	45.7067563883486	23.5669133995446	1
ABCB1	1	1	16.1165864088535	1	1	1	1	1	1	1	1	41.7498168459347	18.7915042895088	43.6759609872512	71.7051630431908	1	1	1	1	1	1	1	1
ABCB4	1	1	1	1	1	1	1	1	36.7468698376574	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB9	106.092690172621	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC1	21.7331370821264	45.7046592846652	24.4389281857259	27.6927587739345	56.6192550634427	1	32.630540449009	20.1750672409343	34.4110954163664	269.674953781138	1	123.943856544089	25.43328929905	29.4098477143449	1	1	104.262924567637	18.452637961856	44.3245854083408	19.2995080499195	16.2477620056424	24.9641362071256	28.6999078347743
ABCC3	1	1	1	23.6865373894035	297.103593698536	1	1	1	1	1	1	1	1	1	1	1	1	1	68.0348470577529	1	1	1	1
ABCC4	60.4442482407187	27.809100208388	1	1	282.326390669366	1	1	1	1	1	1	47.4202787333466	26.1048136800311	1	1	1	1	1	1	1	1	15.1427112859652	1
ABCC5	1	1	1	15.10695939695	1	39.0945862828871	1	19.2051663819735	1	67.9598135922522	1	34.4590891031146	1	1	20.355459132939	24.7703408898953	82.8019170458747	14.2507488139375	14.2252522063638	14.2459222280514	23.1860497895967	12.1861789496065	1
ABCD1	1	1	1	25.0118236703216	1	1	1	23.1619163753435	1	1	1	1	1	1	1	1	1	1	26.6696573655002	1	1	13.2962464696177	21.7339829981339
ABCD2	1	35.1942007695151	11.1274841081331	1	1	1	40.0110432289169	1	1	1	1	1	49.2679765522992	1	1	1	1	1	1	1	1	1	1
ABCD4	21.722670456921	47.8154715463722	19.9947845550517	9.5363177632816	1	1	48.1239559741012	1	1	1	1	45.4509115094376	25.1710833851532	45.046191381114	28.9065491849285	1	149.188184112756	1	24.1810971355837	1	1	23.8475749556531	45.0834935921746
ABCF2.1	28.2624927233819	1	59.9855733980992	26.4459129547613	1	1	48.0491676252529	1	1	77.7236792220059	1	40.2348884697321	27.4293436867467	1	22.5232507292127	1	1	1	15.6824630717982	12.179639188451	1	25.2020413549464	1
ABCG1	1	1	12.853478910884	1	1	1	20.8395725184802	1	1	1	1	10.1933626890627	1	1	20.678950765825	1	1	1	25.68049269492	1	1	1	1
ABHD14A	47.3337834573279	1	20.7784274345262	1	1	1	35.8157160596018	1	1	1	1	1	17.0044050811477	27.5806223035998	21.5553839246843	1	1	1	1	1	1	8.39655831228971	1
ABHD15	1	1	44.1169144277899	1	1	1	1	1	1	1	1	1	25.3209927848405	36.849728090956	1	1	1	1	1	15.7384441724529	1	23.292337954824	347.115266556901
ABHD16A	1	1	1	1	45.6218074844041	1	1	23.3177001159771	1	1	1	37.9045229515923	1	1	1	1	1	1	1	14.5773399500591	11.2630670101189	1	18.9018976011457
ABHD17A	1	1	17.7486324874819	9.9015075634902	1	1	1	1	1	1	1	1	20.1899126107509	53.1130875340384	62.8646763841629	1	1	1	1	1	1	1	1
ABHD4	12.436837573131	1	16.3270805842866	13.6449998579075	119.278412532634	30.4180585813156	1	27.9461494821286	23.3122849780719	1	1	31.1449182239582	1	42.2881956224526	1	1	1	1	14.5707406510528	1	23.2018701033944	1	1
ABHD5	8.13383590088457	1	15.4237960586848	58.4788661676173	70.0912318126661	245.417125505911	1	129.599321469616	1	559.91419836068	202.319996201446	21.3879726049325	1	1	1	287.189471141244	180.92269171278	254.494551125631	27.9725613506775	88.2040657966342	160.930684899868	35.7989806753862	48.7482797982708
ABHD6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.2185791135702	1	1	17.9724367186127	24.2966783654996
ABHD8	1	1	1	14.0866416647225	1	1	1	1	1	1	1	10.1881287765584	1	1	1	1	1	21.8665172232752	1	14.3866044002909	1	13.0528227713197	1
ABI2	35.9901912139061	30.9065130657733	47.534925332427	16.8016454184341	100.137359720507	1	28.6828075045815	1	23.1775484828493	1	1	83.3645415775348	50.8581056365193	47.6691752440265	45.9244673825885	1	1	1	1	1	1	22.0378151542843	107.713540552007
ABI3	1	1	43.5403377666032	50.5020071923229	1	1	1	1	1	1	1	1	1	124.415528004422	45.7710172672433	1	1	1	184.346763629084	1	1	69.5502747640901	1
ABITRAM	1	1	26.2752434443771	16.4347267471417	1	1	19.8404081435259	1	1	1	1	20.5356358401141	1	1	1	1	1	1	15.1030402351478	15.020009420202	18.858183060626	30.0858383132171	66.7848916083572
ABLIM1	1	342.269422859747	52.7913376999932	1	139.619367531298	1	129.905406297897	1	151.947235629825	1	1	61.6353579647031	307.340495328724	81.4337016451761	87.2408226963121	1	1	1	1	1	1	1	1
ABLIM3	1	1	1	1	184.708645647475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABO	1	1	1	1	65.3343118445551	1	22.6603237447219	1	1	1	1	50.2595716096688	1	1	1	1	94.8227485754598	1	1	1	1	1	1
ABR	1	1	18.1362781297012	23.2661635213598	1	1	1	33.5857132988865	1	1	51.5147748083592	1	1	1	28.9041436766347	39.6723021607991	1	20.2716906438566	23.0370313205352	20.18048110088	11.4240326108877	43.4040269518331	24.1722859460086
ABRAXAS1	1	60.0889396961198	10.4928272061848	9.46963752076912	1	1	16.7933288926883	1	1	1	1	62.0714140187218	28.323240264951	1	25.2820676007209	1	1	1	22.2349946224156	1	1	38.405947832272	21.8452862297975
AC000093.1	1	1	1	1	29.6738649042452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC002310.1	8.73699866181231	1	1	1	1	1	1	1	1	1	1	16.8320031614733	21.3473774031176	1	1	1	1	1	1	1	1	1	1
AC004130.2	1	1	1	1	1	1	1	1	1	70.5532031898892	1	1	1	1	1	1	1	1	1	1	1	1	1
AC004453.1	50.9597226661582	163.260712084031	52.2267458755614	30.5527082365719	1	1	109.563169168232	1	150.69610072262	1	1	176.26777483164	148.417064611715	28.672113020214	52.4936854867143	1	1	12.7478817722935	38.8190261480527	32.5396102053879	1	90.3248029453364	49.2859874064547
AC004540.1	1	1	1	1	1	1	1	1	1	1	1	32.4397143295749	1	1	1	1	1	1	1	1	1	1	1
AC004812.2	1	1	1	1	1	1	1	1	1	1	1	1	1	20.3088868064397	1	1	1	1	1	1	1	1	1
AC004846.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	123.059723617192
AC004846.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.57421581681	1	1	1	1	1	1	1
AC004847.1	12.4480377330612	26.355786386866	91.7470961502799	33.4502590320605	1	1	31.0001696964693	1	32.2764049859151	1	1	18.8972303416834	24.7870068696007	93.6756963358817	39.0979432229838	1	1	1	38.3747912098328	1	1	31.3721330902373	21.7339829981339
AC004918.1	1	1	1	1	1	1	1	1	50.8010224966904	73.4713624478858	1	26.4927198854048	22.7184432221568	1	1	1	1	1	1	1	1	1	1
AC005082.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.8557598237135	1	1	1	1	1
AC005332.3	1	1	1	1	1	1	1	1	21.8662017637544	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC005332.4	1	1	10.5478422800752	1	1	1	22.9936426430084	1	1	1	1	1	17.2084209069171	40.210664113242	35.9612108524444	1	1	1	1	1	1	1	21.7339829981339
AC005332.5	1	25.4783106899818	1	1	1	1	1	1	1	1	1	1	1	1	21.3669805856603	1	1	1	1	1	1	1	1
AC005392.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	47.3162683445159	1	30.1752005924094	1	1	18.9892574699876	1	1
AC005632.3	1	1	1	15.4425156950228	1	40.5793747006639	1	95.6966694242177	1	1	1	1	1	1	1	35.6037874489124	1	21.2543148255458	1	1	56.296076604842	12.2562192172217	1
AC005670.3	10.8037504939764	1	9.7718744813937	1	1	1	1	1	22.6803821766674	1	1	89.6994197954521	1	1	1	1	1	1	1	1	1	1	1
AC005674.2	1	19.7360378772984	1	1	1	1	18.2676491173141	1	1	60.8561010003064	1	1	20.4856635645785	20.4730190425211	1	1	1	1	1	1	1	1	1
AC005912.1	25.1563363182363	83.988684967118	20.7605888308108	11.0305372502454	1	1	91.5961642250923	1	59.2781363565527	1	1	17.0604188028852	57.4525650630214	24.3953758398386	66.9957480574152	1	1	1	16.4310838106093	1	1	21.7595710481139	28.6259561215475
AC006033.2	1	1	21.9409159978104	1	1	1	1	1	1	1	1	1	1	99.364712115594	1	1	1	1	1	1	1	1	1
AC006369.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.2712814372438	1	1	1	1	1	1	1	1
AC006504.5	1	1	1	1	1	1	1	1	20.0253849163841	1	1	48.5869071063927	1	1	1	1	1	1	1	9.6840344243852	16.3570583030016	15.5669459588329	1
AC006978.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.5321703172099	42.4679659962679
AC007032.1	1	1	1	1	1	1	1	1	1	1	38.6465232745665	1	1	1	1	1	1	1	1	1	1	1	1
AC007066.2	1	1	1	1	1	1	1	1	1	1	1	24.9261566576359	1	1	1	1	1	1	1	1	1	1	1
AC007182.2	8.34809706368887	26.292536146839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.33549000411544	1	1	22.0455849919582	1
AC007342.3	1	1	1	12.6714571574056	1	1	1	27.086716914981	1	44.7061954469227	32.8567582802841	1	1	1	1	1	1	15.927055788031	1	1	21.0042289121498	1	1
AC007381.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	60.2926738851249
AC007384.1	15.0326590193618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC007406.5	1	23.8047312951528	1	1	1	1	20.9748996986735	1	22.5036303318356	1	1	1	1	19.3999360957196	1	1	1	1	1	1	1	1	1
AC007608.3	1	1	1	1	35.3710805228999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC007877.1	1	1	1	1	1	31.5825622801539	1	1	1	1	63.3529306176164	1	1	1	1	1	1	1	18.9959179520539	1	1	1	1
AC008038.1	41.1457293698683	95.5612421235491	46.4439152769386	23.5551551670584	1	1	83.13695714965	1	90.5790114863179	1	1	181.718621540072	88.7920545019532	1	29.2798702705884	1	1	1	39.3036675383994	19.2351055714827	1	62.6440360937467	68.6858388775472
AC008074.2	50.6279984399189	1	1	20.8396253138407	1	1	1	1	1	1	1	8.81553398103524	1	1	1	1	1	1	1	1	1	18.7456120129049	1
AC008555.4	1	44.5736207077717	24.4129663656412	1	1	1	1	1	1	1	1	1	30.0424998702476	27.310362219884	40.4718475760748	1	1	1	1	1	1	1	1
AC008555.7	1	1	1	1	24.1601409068872	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC008759.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.7581167570679	1
AC008771.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99.0060153732326	1	45.1748695780957	11.0420428820002	1	1
AC009005.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21.3185920396571	1	1	1
AC009022.1	7.92176167601495	1	1	1	1	1	1	1	1	1	1	1	1	22.0761166861957	1	1	1	1	1	1	1	1	1
AC009061.2	1	1	1	1	1	1	1	1	1	1	1	1	1	21.1743779085126	1	1	1	1	1	1	12.5045101540816	1	1
AC009303.4	1	1	1	1	1	1	1	24.272812642	1	1	1	1	1	1	1	1	1	27.2970337866592	1	1	24.8422058476489	1	1
AC009318.1	1	1	1	1	1	1	1	1	1	1	1	39.3135397666208	1	1	1	1	1	1	1	1	1	1	1
AC009318.4	1	1	1	1	1	1	1	1	1	1	1	32.7794688384895	1	1	1	1	1	1	1	1	1	1	1
AC009506.2	1	1	1	16.0076208101448	1	64.2129718461381	1	22.5867874570518	1	1	1	1	1	1	1	1	1	35.1748209178793	1	40.1418139467795	21.6945332436626	12.5117699186353	1
AC009948.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.7759303158743	1	21.9540506396736	16.5326080729367	1	1
AC009948.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.7680527113144	1	13.5602624812428	1	1	1
AC009951.6	1	1	1	13.9893426908254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC010186.2	1	23.2306932165862	1	1	1	1	26.0780233308538	1	1	1	1	1	1	41.6134554542246	34.9317740697323	1	1	1	1	1	1	10.8078482228294	28.6999078347743
AC010186.3	1	1	11.876689887268	1	1	1	1	1	17.5842625597518	1	1	16.6321674855459	24.1983774422954	39.8813156148312	24.3545418840216	1	1	1	1	1	12.128435317747	1	1
AC010247.2	1	1	1	1	1	1	1	1	36.5575831146048	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC010969.2	1	1	19.3765187274486	1	1	1	22.4831532236478	1	1	1	1	1	1	1	23.110123212765	1	1	1	1	1	1	1	1
AC011472.2	1	1	1	16.0806359613326	52.2384788815551	71.3739670539871	1	43.175522225049	1	64.5679376460995	101.355617270792	1	1	1	1	139.42355258158	1	49.5974789172558	1	11.5900574966247	81.3372764665047	1	1
AC011899.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17.9671316869721	1	10.8667989521441	1	1
AC012236.1	139.361434796299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC012368.1	45.5674261237103	1	1	44.9381723734152	41.384646404063	155.936258359176	1	25.5983283919971	15.0729712448072	1	179.051997975207	1	1	1	1	131.693531455356	182.85618789867	24.9139339091856	87.8056936623361	17.2507990894413	62.9919682488146	1	1
AC012615.1	1	1	9.84169918453295	1	56.4218285823929	1	1	1	1	1	1	11.477260789151	1	1	1	1	1	1	1	1	1	1	1
AC012645.1	1	1	1	1	1	56.2031687161252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC015813.6	1	21.473492596773	1	1	1	1	1	1	37.6315534847102	1	1	1	1	1	1	1	1	1	1	1	1	1	30.7185651876727
AC015871.3	1	27.2587960123166	1	12.5191043831472	33.8574822506625	27.4897510335057	1	26.0962503886454	1	46.0439560348446	60.1699214935555	1	1	1	1	1	1	23.5025575353924	1	20.2820754217757	45.2874228288454	11.3201058366674	1
AC015971.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	105.286304534348	1	1	1	1	1	1
AC015982.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.1409215207108
AC016074.2	1	1	16.3537718813383	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC016727.1	1	1	1	1	1	1	1	1	23.1152079418268	1	1	1	1	1	1	1	1	1	1	1	15.1254960176524	1	1
AC016734.1	7.91552023558991	1	1	25.948020379903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.2731880532246	18.9018976011457
AC016747.1	21.2042531628953	1	1	1	1	1	1	1	1	1	1	20.732453167438	1	1	1	1	1	1	1	1	1	1	1
AC016957.2	1	1	1	1	1	1	1	1	1	1	86.7365741964643	1	21.7836839699329	1	1	1	1	1	1	1	1	1	1
AC018628.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.4942049831601	1	1	1	1	1	1
AC018638.5	1	1	1	13.2445266514013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC018647.2	1	1	25.1405591118148	13.3247899777621	1	1	1	1	1	1	1	30.011833467469	1	1	1	1	1	1	18.4106550261802	1	1	9.68066209382234	15.7883054080833
AC018755.4	1	1	1	51.0408962162432	22.4212051677313	58.5867295086873	1	57.6159585955584	32.9480051088955	1	69.0280671659755	1	1	1	1	45.3462271719188	1	84.4883848905589	45.3074465191183	43.1084348200196	113.411094282451	32.6990577388892	1
AC018926.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.4776536888651	1	27.8243219781093	1	1	1
AC019069.1	1	1	1	1	1	1	1	1	1	1	1	24.0439636945825	1	1	1	1	1	1	1	1	1	1	1
AC019205.1	9.68299257740602	1	1	1	1	1	1	1	1	1	1	20.8389190644526	1	23.4897430471436	24.2889916273757	1	1	1	1	1	1	1	18.9018976011457
AC020651.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.6705578853377	1	1	1	1
AC020656.1	1	1	1	29.1015158268499	1	1	1	1	1	1	1	1	1	1	1	1	1	24.0423502788393	1	29.6597231619715	1	32.968016530015	1
AC020658.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.8752872983959	1	1	1	1
AC020659.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.6181154784245	1	1	1	1	1	1	1	1
AC020916.1	1	1	1	28.9715213567789	47.6046552700504	1	1	25.8581257767171	1	1	45.6675359350103	42.7917778804994	1	1	1	1	113.655227108597	15.0934874231232	1	28.013694681311	14.3403961403109	13.7678637432623	18.9018976011457
AC021683.5	1	1	1	1	1	1	1	1	1	1	1	1	19.4639483493998	1	18.3927587507901	1	1	1	1	1	1	1	1
AC022182.2	1	33.2342479348053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC022706.1	1	1	10.6922350119293	1	1	1	34.3771753598433	1	1	1	1	1	22.7907154079933	1	1	1	1	1	1	1	1	1	1
AC022916.2	1	1	1	1	1	1	1	1	1	1	1	1	17.5996390007337	1	1	1	1	1	1	1	1	1	1
