gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
NTNG2	16.92	21.6	25.35	15.15	23.1	210.46	19.41	9.31	35.52	96.74	42.47	28.77	59.83	13.07	32.14	48.33
DNAJB4	28.88	17.42	102.44	14.9	34.78	204.13	25.38	12.92	21.2	23.07	33.75	9.31	60.29	48.68	40.53	19.41
LINC01311	28.47	21.2	60.75	47.58	34.84	101.78	12.93	26.62	9.42	23.59	19.33	17.33	206.61	32.56	41.37	14.91
A1BG	12.82	19.24	28.87	15	24.31	96.17	9.31	17.33	41.28	60.81	24.27	21.2	48.17	212.01	36.68	32.16
HERC5	18.5	21.35	211.99	12.79	32.4	96.96	18.35	28.85	15.05	25.57	49.88	9.31	58.98	41.22	35.52	22.76
SLC20A1	23.28	17.3	97.28	9.31	14.94	48.71	25.39	28.88	19.35	36.08	32.2	12.88	40.94	60.16	211.96	21.12
LL0XNC01-7P3.1	17.54	36.64	60.39	23.28	41.16	9.02	19.52	12.8	21.07	25.81	29.1	15.02	210.36	31.99	97.02	48.1
CH17-264L24.1	41.06	25.36	211.9	60.17	97.29	9.02	28.92	36.14	12.86	19.27	23.11	15.05	48.72	32.12	21.03	17.34
KRT15	17.06	40.31	15.42	20.37	36.62	9.02	12.93	21.18	27.69	24.88	55.47	23.96	210.4	98.87	32.2	52.71
DR1	21.28	16.29	100.76	12.69	23.14	208.25	19.27	15.89	25.36	28.92	41.05	9.42	49.88	36.1	59.08	32.12
RP3-395M20.8	33.18	23.27	211.95	33.38	60.17	48.24	41.28	97.28	15.05	19.27	29.87	12.79	17.27	9.31	25.84	21.46
C1orf115	19.3	36.01	28.64	41.05	184.22	9.02	24.82	9.02	50.58	58.41	23.76	32.16	21.3	17.2	9.02	123.6
KIAA1324	28.82	59.98	210.36	17.59	39.79	45.03	32.56	15.12	12.96	21.52	25.5	9.37	98.77	22.92	37.28	18.89
TTL	23.25	17.56	211.98	12.79	31.93	43.73	18.73	9.31	26.23	50.83	69.24	15.4	82.07	21.13	27.81	36.25
RP11-147L13.13	96.77	23.62	211.82	25.69	45.08	9.02	51.14	21.18	15.2	19.38	28.96	50.56	17.25	12.83	34.62	36.27
MEGF11	32.04	48.56	35.2	61.98	95.48	24.19	21.31	19.23	9.47	15.06	29.39	17.42	212	40.97	23.94	12.73
ATP2A3	35.83	19.18	107.47	28.71	60.31	201.22	32.15	9.31	41.11	20.81	15.02	12.79	23.62	48.68	17.79	25.3
MYLK3	31.66	29.49	14.94	97.29	59.29	9.02	36.54	21.24	17.07	23.22	25.5	19.32	211.97	41.01	48.51	13.04
RP11-452L6.1	35.33	59.88	21.44	19.41	48.89	9.02	33.24	97.27	12.87	17.36	24.92	15.09	211.98	40.92	27.2	23.45
ATE1	20.92	15.02	97.26	12.6	31.08	211.19	27.18	17.3	20.09	28.04	38.7	9.51	60.3	48.26	38.79	22.83
FBXO27	41.44	24.55	60.44	12.86	28.8	94.78	17.53	35.83	24.07	19.25	48.92	15.16	210.06	32.34	9.02	21.38
TRAC	97.29	60.31	211.92	23.04	41.11	48.61	32.16	19.26	21.38	25.41	28.83	17.3	12.94	9.36	14.8	36.05
IGLC3	18.09	14.99	41.2	60.31	97.29	211.66	18.45	12.71	21.23	25.08	29.21	9.46	35.95	48.58	31.58	23.55
GPR85	15.02	41.41	49.26	21.84	28.77	96.19	11.35	21.94	10.76	17.59	35.94	19.68	211.99	32.23	60.38	25.42
SPTLC1	19.08	17.43	97.26	12.79	25.21	211.41	28.88	15.08	21.34	32.16	60.13	9.31	36.32	40.92	48.66	23.23
CA11	12.63	21.06	19.29	15.23	25.38	53.22	17.35	9.58	40.55	35.92	33.29	23.24	95.17	29.22	209.95	58.24
RP11-159D12.2	21.38	16.55	211.96	16.42	18.72	96.61	24.15	24.18	28.87	36.43	32.12	12.61	51.39	40.91	9.48	57.37
CCDC189	12.85	14.96	41.1	17.3	21.26	96.34	9.31	23.13	31.12	30.68	35.28	19.29	49.68	212.01	59.71	25.36
LIN37	32.44	40.45	211.94	12.78	25.41	15.24	28.72	17.28	19.83	23.17	49.56	9.42	94.63	62.08	36.02	20.75
ZNF880	19.29	23.22	42.07	25.41	30.02	208.72	32.78	34.07	12.79	15.02	21.18	9.31	62.28	48.46	96.45	17.3
ZNF90	15.08	40.77	97.29	29.72	60	211.84	12.65	9.46	17.68	23.83	31.33	21.06	48.98	18.97	36.3	24.78
CENPO	25.36	32.33	100.51	16.05	16.24	207.17	21.18	19.13	35.78	23.57	28.6	12.9	59.43	41.55	48.97	9.41
DCP1B	60.43	28.91	211.96	23.09	41.38	94.78	21.09	19.5	12.79	15.25	32.22	9.31	36.99	25.34	49.01	17.1
RP11-1149O23.4	19.75	48.54	9.02	22.93	40.31	205.9	12.9	17.83	15.59	21.02	36.87	25.06	61.38	28.91	96.66	32.73
RP11-425A6.5	21.28	30.21	41.23	19.03	49	9.02	16.26	12.8	16.78	35.66	59.97	23.36	211.95	25.7	95.18	30.9
ESRRA	23.33	28.08	32.15	19.26	26.05	59.7	21.18	9.31	96.7	36.79	212.02	40.95	12.85	14.97	17.3	49.13
ZNF768	12.96	15.17	27.09	23.53	32.21	211.26	9.36	17.26	97.29	38.61	41.54	26.18	58.18	21.19	19.18	47.68
RP11-6N17.6	28.57	94.22	9.02	50.24	63.61	205.91	19.33	26.01	12.97	17.36	35.63	21.26	32.92	40.68	23.05	14.99
KCNK17	28.84	32.02	41.01	9.02	9.02	47.4	17.3	36.33	9.02	25.48	23.2	21.21	60.29	97.29	211.84	19.36
HOXB7	48.59	29.36	98.76	35.98	60.3	208.92	31.89	21.19	17.26	15.13	12.86	19.14	41	23.24	9.02	25.38
RP11-383M4.6	41.43	31.82	17.89	59.66	22.94	9.02	19.05	21.22	13.06	28.33	49.34	15.3	208.75	36.46	98.67	25.92
LINC01513	49.27	25.94	14.99	19.37	39.82	9.02	28.55	37.39	21.21	97.29	58.81	23.47	211.99	17.23	9.02	32.36
IGLV2-23	17.78	21.41	48.03	97.29	60.3	210.45	28.41	9.02	23.18	26.32	41.14	18.85	9.02	36.03	9.02	31.87
ACTR3B	31.86	25.72	211.93	21.24	28.93	48.24	23.48	37.09	15.05	19.35	40.65	9.31	96.23	17.28	60.16	12.79
PHLDB2	59.1	32.32	211.87	20.06	17.13	9.02	97.29	29.03	15.1	20.78	22.93	12.89	49.78	25.41	35.79	40.88
MARVELD3	34.92	93.36	19.57	27.51	62.75	9.02	21.42	23.83	13.28	14.99	48.02	31.96	211.98	27.05	42.68	17.08
DENND5B	21.01	15.21	31.72	41.31	64.18	211.71	25.31	28.78	12.84	23.55	19.59	17.06	36.04	48.48	93.22	9.41
PPBP	32.27	19.24	97.26	25.35	41.14	49.56	21.35	15.02	28.93	36.14	58.36	12.76	9.47	23.06	17.21	212.02
LINC01089	17.61	28.88	57.66	12.82	35.5	97.33	15.09	20.82	19.26	23.22	32.7	9.31	207.94	44.73	51.08	25.34
PREB	17.35	15.02	97.28	12.65	31.94	211.87	24.29	21.23	28.64	19.33	36.05	9.46	42.63	47.16	60.23	24.6
LINC00996	25.25	23.41	32.46	21.35	48.61	58.98	35.78	41.46	9.74	14.97	17.27	12.76	97.28	212.01	28.73	19.17
RGS7	9.02	17.3	48.73	41.21	32.17	35.37	9.02	28.65	19.2	21.13	25.47	23.23	60.07	212.01	97.05	9.02
ZNF618	21.14	12.83	9.02	23.22	61.31	17.27	25.47	36.82	15.08	40.62	29.42	19.17	95.42	49.02	211.3	31.67
LSINCT5	40.78	36.47	100.33	9.85	22.95	206.38	60.28	31.53	15.16	19.56	21.27	12.35	49.06	28.44	26.1	17.23
PRSS21	31.14	42.32	97.26	13.41	17.48	210.38	15.33	20.6	18.78	47.36	36.26	24.36	9.82	23.91	59.97	29.68
DAGLB	21.18	19.24	32.75	17.35	24.64	34.4	14.86	9.31	203.05	62.87	50.83	24.1	28.75	12.96	101.09	40.84
ANKDD1B	31.97	23.23	9.02	9.02	36.07	206.65	61.35	98.32	15.13	17.35	29.22	19.51	41.22	21.21	47.78	25.15
