"Sample","SRS7","SRSq7","SRS19","SRSq19"
"03_04_2013_E09_hv59.CEL","SRS2",0.567723739186319,"SRS2",0.644389404512806
"03_04_2013_F10_hv49.CEL","SRS3",0.219589179801361,"SRS3",0.259429513440732
"13_03_2013_F09_hv45.CEL","SRS2",0.448540116166271,"SRS3",0.377417816997084
"13_03_2013_F12_hv32.CEL","SRS3",0.0670084993347048,"SRS3",0.285223262962279
"14_03_2013_A10_hv35.CEL","SRS3",0.22135021131212,"SRS2",0.393276736733036
"14_03_2013_A12_hv21.CEL","SRS3",0.3188101560599,"SRS2",0.499806777575314
"14_03_2013_B03_hv15.CEL","SRS3",0.262424046027604,"SRS2",0.568368504398254
"14_03_2013_B10_hv40.CEL","SRS2",0.282536031716756,"SRS2",0.442893694174624
"14_03_2013_C02_hv56.CEL","SRS2",0.444572490005555,"SRS2",0.527847813617067
"14_03_2013_C05_hv52.CEL","SRS2",0.473618987830486,"SRS3",0.287177996175383
"14_03_2013_G11_hv55.CEL","SRS2",0.30899207363195,"SRS2",0.369299511521737
"19_03_2013_D02_hv43.CEL","SRS2",0.564698587872258,"SRS2",0.63560525561883
"19_03_2013_D03_hv23.CEL","SRS3",0.331829650360377,"SRS3",0.414931707973027
"19_03_2013_D04_hv09.CEL","SRS2",0.598226593104855,"SRS2",0.645328385167692
"19_03_2013_D05_hv38.CEL","SRS2",0.341145189489965,"SRS3",0.247329441295743
"19_03_2013_D06_hv10.CEL","SRS2",0.507427364030582,"SRS2",0.581918180840618
"19_03_2013_D07_hv53.CEL","SRS3",0.28829091572649,"SRS2",0.369822139391848
"19_03_2013_D12_hv34.CEL","SRS3",0.279548701828626,"SRS3",0.225742689161949
"19_03_2013_E01_hv14.CEL","SRS2",0.564303598129664,"SRS2",0.529106373148933
"19_03_2013_E07_hv39.CEL","SRS2",0.469718032983208,"SRS2",0.683447842347793
"19_03_2013_E08_hv41.CEL","SRS2",0.487863471071199,"SRS2",0.459638330784493
"19_03_2013_E09_hv20.CEL","SRS2",0.46294313643418,"SRS2",0.557897283044902
"20_03_2013_C02_hv04.CEL","SRS2",0.326733930674018,"SRS3",0.2474008556829
"20_03_2013_C04_hv08.CEL","SRS2",0.626506139915438,"SRS3",0.342769635975779
"20_03_2013_C05_hv02.CEL","SRS2",0.562548219508899,"SRS2",0.684651454406331
"20_03_2013_C11_hv12.CEL","SRS3",0.131943851019355,"SRS3",0.166124570767329
"20_03_2013_D03_hv54.CEL","SRS2",0.641763819146662,"SRS3",0.313466897689558
"20_03_2013_D04_hv47.CEL","SRS2",0.574651313498729,"SRS2",0.520707355615499
"20_03_2013_D05_hv17.CEL","SRS3",0.370998587604744,"SRS2",0.527319379244958
"20_03_2013_D11_hv16.CEL","SRS2",0.634362046136077,"SRS2",0.756299250456147
"20_03_2013_G02_hv36.CEL","SRS2",0.469650277110428,"SRS2",0.626353769228446
"26_03_2013_A04_hv22.CEL","SRS2",0.319584699894651,"SRS3",0.225740249015937
"26_03_2013_F06_hv42.CEL","SRS2",0.495338265976616,"SRS2",0.58990100703682
"26_03_2013_F09_hv57.CEL","SRS2",0.438030700308151,"SRS2",0.387172140863567
"26_03_2013_F12_hv44.CEL","SRS2",0.516267054196772,"SRS2",0.321862463151424
"26_03_2013_G11_hv70.CEL","SRS2",0.350809134765507,"SRS2",0.499228460312799
"26_03_2013_H10_hv69.CEL","SRS2",0.45301748375586,"SRS2",0.591221548702747
"26_03_2013_H12_hv48.CEL","SRS3",0.276923968066779,"SRS3",0.249856298270964
"27_03_2013_A03_hv33.CEL","SRS3",0.0774140631570338,"SRS2",0.367021055935984
"27_03_2013_A11_hv68.CEL","SRS2",0.488748113229875,"SRS2",0.685812351355708
"27_03_2013_C05_hv24.CEL","SRS2",0.528810807447812,"SRS2",0.593827805378926
"27_03_2013_D03_hv13.CEL","SRS3",0.120647226764431,"SRS3",0.182565941136724
