"","Sample","Sample.ID","Plate","qns","RIN","RNAseq","ID"
"1","qns31079_044","EB_3.0 NL57847.018.16 3304_D0","qns31079_plate_1","qns31079",6.1,1,"3304"
"2","qns31079_045","EB_3.0 NL57847.018.16 3305_D0","qns31079_plate_1","qns31079",5.5,1,"3305"
"3","qns31079_046","EB_3.0 NL57847.018.16 3306_D0","qns31079_plate_1","qns31079",6.6,1,"3306"
"4","qns31079_047","EB_3.0 NL57847.018.16 3307_D0","qns31079_plate_1","qns31079",5.8,1,"3307"
"5","qns31079_048","EB_3.0 NL57847.018.16 3308_D0","qns31079_plate_1","qns31079",5.8,1,"3308"
"6","qns31079_053","EB_3.0 NL57847.018.16 3313_D0","qns31079_plate_1","qns31079",6.1,1,"3313"
"7","qns31079_054","EB_3.0 NL57847.018.16 3314_D0","qns31079_plate_1","qns31079",6.2,1,"3314"
"8","qns31079_055","EB_3.0 NL57847.018.16 3315_D0","qns31079_plate_1","qns31079",6.2,1,"3315"
"9","qns31079_056","EB_3.0 NL57847.018.16 3317_D0","qns31079_plate_1","qns31079",5.6,1,"3317"
"10","qns31079_057","EB_3.0 NL57847.018.16 3318_D0","qns31079_plate_1","qns31079",5.3,1,"3318"
"11","qns31079_058","EB_3.0 NL57847.018.16 3319_D0","qns31079_plate_1","qns31079",5.9,1,"3319"
"12","qns31079_059","EB_3.0 NL57847.018.16 3321_D0","qns31079_plate_1","qns31079",5.5,1,"3321"
"13","qns31079_061","EB_3.0 NL57847.018.16 3323_D0","qns31079_plate_1","qns31079",6.1,1,"3323"
"14","qns31079_062","EB_3.0 NL57847.018.16 3324_D0","qns31079_plate_1","qns31079",5.9,1,"3324"
"15","qns31079_068","EB_3.0 NL57847.018.16 3332_D0","qns31079_plate_1","qns31079",5.6,1,"3332"
"16","qns31079_069","EB_3.0 NL57847.018.16 3333_D0","qns31079_plate_1","qns31079",6.2,1,"3333"
"17","qns31079_070","EB_3.0 NL57847.018.16 3334_D0","qns31079_plate_1","qns31079",6.5,1,"3334"
"18","qns31079_071","EB_3.0 NL57847.018.16 3335_D0","qns31079_plate_1","qns31079",6.7,1,"3335"
"19","qns31079_072","EB_3.0 NL57847.018.16 3336_D0","qns31079_plate_1","qns31079",6.5,1,"3336"
"20","qns31079_075","EB_3.0 NL57847.018.16 3340_D0","qns31079_plate_1","qns31079",5.8,1,"3340"
"21","qns31079_076","EB_3.0 NL57847.018.16 3341_D0","qns31079_plate_1","qns31079",5.6,1,"3341"
"22","qns31079_077","EB_3.0 NL57847.018.16 3342_D0","qns31079_plate_1","qns31079",6.2,1,"3342"
"23","qns31079_079","EB_3.0 NL57847.018.16 3344_D0","qns31079_plate_1","qns31079",6.1,1,"3344"
"24","qns31079_080","EB_3.0 NL57847.018.16 3346_D0","qns31079_plate_1","qns31079",6.5,1,"3346"
"25","qns31079_081","EB_3.0 NL57847.018.16 3347_D0","qns31079_plate_1","qns31079",6.7,1,"3347"
"26","qns31079_083","EB_3.0 NL57847.018.16 3350_D0","qns31079_plate_1","qns31079",6.5,1,"3350"
"27","qns31079_084","EB_3.0 NL57847.018.16 3351_D0","qns31079_plate_1","qns31079",6.1,1,"3351"
"28","qns31079_085","EB_3.0 NL57847.018.16 3352_D0","qns31079_plate_1","qns31079",6.5,1,"3352"
"29","qns31079_086","EB_3.0 NL57847.018.16 3353_D0","qns31079_plate_1","qns31079",5.2,1,"3353"
"30","qns31079_087","EB_3.0 NL57847.018.16 3354_D0","qns31079_plate_1","qns31079",7.2,1,"3354"
"31","qns31079_088","EB_3.0 NL57847.018.16 3261_D0","qns31079_plate_1","qns31079",5.4,1,"3261"
"32","qns31079_089","EB NL57847.018.16 7001_d0","qns31079_plate_1","qns31079",6.3,1,"7001"
"33","qns31079_090","EB_2.0 NL57847.018.16 7002_d0","qns31079_plate_1","qns31079",6.9,1,"7002"
"34","qns31079_092","EB_2.0 NL57847.018.16 7005_d0","qns31079_plate_1","qns31079",6.7,1,"7005"
"35","qns31079_093","EB_3.0 NL57847.018.16 7006_D0","qns31079_plate_1","qns31079",6.6,1,"7006"
"36","qns31079_094","EB_3.0 NL57847.018.16 7015_D0","qns31079_plate_1","qns31079",6.1,1,"7015"
"37","qns31079_188","EB NL57847.018.21 1056_d0","qns31079_plate_2","qns31079",6.3,1,"1056"
"38","qns31079_190","EB NL57847.018.21 1058_d0","qns31079_plate_2","qns31079",5.2,1,"1058"
"39","qns31079_191","EB NL57847.018.21 1059_d0","qns31079_plate_3","qns31079",6.4,1,"1059"
"40","qns31079_192","EB NL57847.018.21 1060_d0","qns31079_plate_3","qns31079",6.5,1,"1060"
"41","qns31079_194","EB NL57847.018.21 1062_d0","qns31079_plate_3","qns31079",6.2,1,"1062"
"42","qns31079_195","EB NL57847.018.21 1063_d0","qns31079_plate_3","qns31079",5.3,1,"1063"
"43","qns31079_196","EB NL57847.018.21 1064_d0","qns31079_plate_3","qns31079",6.8,1,"1064"
"44","qns31079_197","EB NL57847.018.21 1066_d0","qns31079_plate_3","qns31079",5.7,1,"1066"
"45","qns31079_198","EB NL57847.018.21 1067_d0","qns31079_plate_3","qns31079",5.2,1,"1067"
"46","qns31079_199","EB NL57847.018.21 1068_d0","qns31079_plate_3","qns31079",6.6,1,"1068"
"47","qns31079_201","EB NL57847.018.21 1070_d0","qns31079_plate_3","qns31079",7,1,"1070"
"48","qns31079_202","EB NL57847.018.21 1071_d0","qns31079_plate_3","qns31079",6.3,1,"1071"
"49","qns31079_203","EB NL57847.018.21 1072_d0","qns31079_plate_3","qns31079",5.9,1,"1072"
"50","qns31079_204","EB NL57847.018.21 1073_d0","qns31079_plate_3","qns31079",6.4,1,"1073"
"51","qns31079_205","EB NL57847.018.21 1074_d0","qns31079_plate_3","qns31079",5.8,1,"1074"
"52","qns31079_206","EB NL57847.018.21 1075_d0","qns31079_plate_3","qns31079",6,1,"1075"
"53","qns31079_207","EB NL57847.018.21 1076_d0","qns31079_plate_3","qns31079",6.4,1,"1076"
