"Group","HiIL6","Marker","Group1","Group2","p_value","significant"
"CAP","LowIL6_M","IL_8_1","LPS","M",4.11794277143391e-47,TRUE
"CAP","LowIL6_M","IL_8_1","KP","M",1.12246660166289e-56,TRUE
"CAP","LowIL6_M","IL_8_1","PP","M",1.84796388634601e-57,TRUE
"CAP","LowIL6_M","IL_8_1","KP","LPS",2.86361160443415e-06,TRUE
"CAP","LowIL6_M","IL_8_1","PP","LPS",8.91678894786909e-16,TRUE
"CAP","LowIL6_M","IL_8_1","PP","KP",0.000193173096264419,TRUE
"CAP","LowIL6_M","IL_1beta","LPS","M",1.68088128257032e-52,TRUE
"CAP","LowIL6_M","IL_1beta","KP","M",2.09312915391371e-58,TRUE
"CAP","LowIL6_M","IL_1beta","PP","M",5.74566084514699e-58,TRUE
"CAP","LowIL6_M","IL_1beta","KP","LPS",4.52086150246588e-17,TRUE
"CAP","LowIL6_M","IL_1beta","PP","LPS",0.00852457358250322,TRUE
"CAP","LowIL6_M","IL_1beta","PP","KP",1.37354365371665e-07,TRUE
"CAP","LowIL6_M","CCL3","LPS","M",3.65410527410475e-55,TRUE
"CAP","LowIL6_M","CCL3","KP","M",2.02163846878741e-58,TRUE
"CAP","LowIL6_M","CCL3","PP","M",2.94888690059094e-58,TRUE
"CAP","LowIL6_M","CCL3","KP","LPS",1.23362622858055e-07,TRUE
"CAP","LowIL6_M","CCL3","PP","LPS",1.23271837172695e-05,TRUE
"CAP","LowIL6_M","CCL3","PP","KP",1,FALSE
"CAP","LowIL6_M","IL_1RA","LPS","M",5.10113603072119e-47,TRUE
"CAP","LowIL6_M","IL_1RA","KP","M",3.3195327238997e-51,TRUE
"CAP","LowIL6_M","IL_1RA","PP","M",1.48056772274709e-44,TRUE
"CAP","LowIL6_M","IL_1RA","KP","LPS",0.0162948328214913,TRUE
"CAP","LowIL6_M","IL_1RA","PP","LPS",1,FALSE
"CAP","LowIL6_M","IL_1RA","PP","KP",0.0048362483062665,TRUE
"CAP","LowIL6_M","CCL2","LPS","M",1.08837917989546e-28,TRUE
"CAP","LowIL6_M","CCL2","KP","M",6.5747869831153e-15,TRUE
"CAP","LowIL6_M","CCL2","PP","M",4.67203357440684e-36,TRUE
"CAP","LowIL6_M","CCL2","KP","LPS",2.9988772655961e-05,TRUE
"CAP","LowIL6_M","CCL2","PP","LPS",0.000854982510589216,TRUE
"CAP","LowIL6_M","CCL2","PP","KP",3.74727561819418e-13,TRUE
"CAP","LowIL6_M","CCL4","LPS","M",6.38695275446559e-57,TRUE
"CAP","LowIL6_M","CCL4","KP","M",2.02918516262661e-58,TRUE
"CAP","LowIL6_M","CCL4","PP","M",2.20984956288501e-58,TRUE
"CAP","LowIL6_M","CCL4","KP","LPS",3.74120088081638e-05,TRUE
"CAP","LowIL6_M","CCL4","PP","LPS",0.0249257804159065,TRUE
"CAP","LowIL6_M","CCL4","PP","KP",0.392230116085528,FALSE
"CAP","LowIL6_M","TNF","LPS","M",7.68858531330826e-56,TRUE
"CAP","LowIL6_M","TNF","KP","M",2.06331290427659e-58,TRUE
"CAP","LowIL6_M","TNF","PP","M",2.28556940602683e-58,TRUE
"CAP","LowIL6_M","TNF","KP","LPS",7.52448405867576e-21,TRUE
"CAP","LowIL6_M","TNF","PP","LPS",6.53561276146924e-22,TRUE
"CAP","LowIL6_M","TNF","PP","KP",0.440406585276089,FALSE
"CAP","LowIL6_M","IL_6","LPS","M",1.09174056666667e-57,TRUE
"CAP","LowIL6_M","IL_6","KP","M",2.02723141097652e-58,TRUE
"CAP","LowIL6_M","IL_6","PP","M",3.26730423809413e-58,TRUE
