"Sample","Sample.ID","Plate","qns","RIN","RNAseq"
"qns31079_132","BO NL57923.018.16 SG2008","qns31079_plate_2","qns31079",6.5,1
"qns31079_133","BO NL57923.018.16 SG2023","qns31079_plate_2","qns31079",6.2,1
"qns31079_134","BO NL57923.018.16 SG2027","qns31079_plate_2","qns31079",5.7,1
"qns31079_135","BO NL57923.018.16 SG2029","qns31079_plate_2","qns31079",6.1,1
"qns31079_136","BO NL57923.018.16 SG2030","qns31079_plate_2","qns31079",6.5,1
"qns31079_137","BO NL57923.018.16 SG2031","qns31079_plate_2","qns31079",5.8,1
"qns31079_138","BO NL57923.018.16 SG2033","qns31079_plate_2","qns31079",6.1,1
"qns31079_139","BO NL57923.018.16 SG2036","qns31079_plate_2","qns31079",5.7,1
"qns31079_140","BO NL57923.018.16 SG2038","qns31079_plate_2","qns31079",5.9,1
"qns31079_141","BO NL57923.018.16 SG2043","qns31079_plate_2","qns31079",5.9,1
"qns31079_142","BO NL57923.018.16 SG2055","qns31079_plate_2","qns31079",6.3,1
"qns31079_143","BO NL57923.018.16 SG2075","qns31079_plate_2","qns31079",5.8,1
"qns31079_144","BO NL57923.018.16 SG2077","qns31079_plate_2","qns31079",6.1,1
"qns31079_145","BO NL57923.018.16 SG2087","qns31079_plate_2","qns31079",7.1,1
"qns31079_146","BO NL57923.018.16 SG2097","qns31079_plate_2","qns31079",6.3,1
"qns31079_147","BO NL57923.018.16 SG2107","qns31079_plate_2","qns31079",6,1
"qns31079_148","BO NL57923.018.16 SG2110","qns31079_plate_2","qns31079",5.7,1
"qns31079_149","BO NL57923.018.16 SG2139","qns31079_plate_2","qns31079",6.2,1
"qns31079_150","BO NL57923.018.16 SG2147","qns31079_plate_2","qns31079",6.3,1
"qns31079_151","BO NL57923.018.16 SG2152","qns31079_plate_2","qns31079",6.1,1
"qns31079_152","BO NL57923.018.16 SG2175","qns31079_plate_2","qns31079",6.8,1
"qns31079_177","BO NL57923.018.16 SG2024","qns31079_plate_2","qns31079",6.6,1
"qns31079_178","BO NL57923.018.16 SG2028","qns31079_plate_2","qns31079",6.3,1
"qns31079_179","BO NL57923.018.16 SG2051","qns31079_plate_2","qns31079",6.6,1
"qns31079_180","BO NL57923.018.16 SG2060","qns31079_plate_2","qns31079",6.2,1
"qns31079_181","BO NL57923.018.16 SG2070","qns31079_plate_2","qns31079",6.2,1
"qns31079_182","BO NL57923.018.16 SG2071","qns31079_plate_2","qns31079",6.5,1
"qns31079_184","BO NL57923.018.16 SG2098","qns31079_plate_2","qns31079",6.1,1
"qns31079_185","BO NL57923.018.16 SG2112","qns31079_plate_2","qns31079",6.8,1
"qns31079_186","BO NL57923.018.16 SG2138","qns31079_plate_2","qns31079",6.6,1
"qns31079_187","BO NL57923.018.16 SG2164","qns31079_plate_2","qns31079",6.6,1
