"tablename","CAP","COVID","HV","p","test","SMD","Missing"
"n","237","175","93","","","",""
"group (%)","","","","<0.001","","NaN","0.0"
"   CAP","237 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   COVID","0 (0.0)","175 (100.0)","0 (0.0)","","","",""
"   HV","0 (0.0)","0 (0.0)","93 (100.0)","","","",""
"inclusion_hospital (%)","","","","<0.001","","2.235","22.4"
"   AMC","23 (18.3)","41 (23.4)","0 (0.0)","","","",""
"   BovenIJ","35 (27.8)","0 (0.0)","0 (0.0)","","","",""
"   Flevoziekenhuis","44 (34.9)","126 (72.0)","0 (0.0)","","","",""
"   Healthy","0 (0.0)","0 (0.0)","91 (100.0)","","","",""
"   VUMC","24 (19.0)","8 (4.6)","0 (0.0)","","","",""
"sampling_time (median [IQR])","1.00 [1.00, 1.00]","1.00 [1.00, 2.00]","-357115.00 [-357450.00, -356070.00]","<0.001","nonnorm","505.877","4.0"
"age_yrs (median [IQR])","69.00 [58.50, 77.50]","60.00 [52.00, 69.00]","65.00 [57.75, 73.00]","<0.001","nonnorm","0.368","1.4"
"gender = Male (%)","135 (58.4)","116 (66.3)","55 (59.8)","0.257","","0.108","1.4"
"ethnic_group#White = 1 (%)","182 (80.2)","103 (58.9)","80 (87.0)","<0.001","","0.442","2.2"
"BMI (median [IQR])","25.06 [22.53, 28.70]","28.66 [25.52, 32.32]","25.80 [24.33, 28.80]","<0.001","nonnorm","0.383","9.3"
"symptom_days (median [IQR])","4.00 [2.00, 7.00]","9.00 [7.00, 11.00]","0.00 [0.00, 0.00]","<0.001","nonnorm","1.258","4.2"
"CCI (median [IQR])","5.00 [4.00, 7.00]","4.00 [3.00, 5.00]","5.00 [4.00, 7.00]","<0.001","nonnorm","0.499","9.3"
"hypertension = Yes (%)","88 (37.1)","63 (36.0)","36 (39.1)","0.881","","0.043","0.2"
"cpd = Yes (%)","116 (50.2)","37 (21.1)","10 (11.0)","<0.001","","0.619","1.6"
"COPD = Yes (%)","72 (30.4)","12 (6.9)","3 (3.3)","<0.001","","0.526","0.2"
"diabetes = 1 (%)","52 (21.9)","48 (27.4)","10 (10.9)","0.008","","0.287","0.2"
"ccd = Yes (%)","152 (65.8)","87 (49.7)","52 (57.1)","0.005","","0.219","1.6"
"ckd = Yes (%)","27 (11.4)","12 (6.9)","9 (9.8)","0.299","","0.105","0.2"
"mneoplasm = Yes (%)","60 (26.0)","16 (9.1)","15 (16.5)","<0.001","","0.303","1.6"
"immune_sup = Yes (%)","35 (15.2)","5 (2.9)","6 (6.6)","<0.001","","0.298","1.6"
"cnd = Yes (%)","16 (6.9)","7 (4.0)","2 (2.2)","0.161","","0.154","1.6"
"qSOFA_score (median [IQR])","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","NA [NA, NA]","0.129","nonnorm","NA","20.6"
"MEWS_score (median [IQR])","3.00 [2.00, 5.00]","3.00 [2.00, 4.00]","NA [NA, NA]","0.013","nonnorm","NA","20.8"
"CURB_score (median [IQR])","1.00 [1.00, 2.00]","1.00 [0.00, 2.00]","NA [NA, NA]","<0.001","nonnorm","NA","21.0"
"PSI_new (%)","","","","NaN","","NaN","28.9"
"   1","10 (4.9)","1 (0.7)","0 (NaN)","","","",""
"   2","22 (10.7)","24 (15.7)","0 (NaN)","","","",""
"   3","40 (19.4)","46 (30.1)","0 (NaN)","","","",""
"   4","98 (47.6)","71 (46.4)","0 (NaN)","","","",""
"   5","36 (17.5)","11 (7.2)","0 (NaN)","","","",""
"crp_1_1 (median [IQR])","121.45 [50.50, 249.98]","93.00 [51.50, 141.35]","31.50 [1.60, 46.10]","<0.001","nonnorm","1.097","18.8"
"WBC_2_1 (median [IQR])","12.60 [8.90, 17.60]","6.30 [4.65, 8.00]","7.00 [4.95, 10.00]","<0.001","nonnorm","0.569","18.2"
"Neutrophil_unit_1 (median [IQR])","10.18 [6.82, 13.95]","4.70 [3.20, 6.70]","4.80 [4.80, 4.80]","<0.001","nonnorm","NA","28.9"
"Lymphocyte_1_1 (median [IQR])","0.92 [0.60, 1.40]","0.90 [0.70, 1.20]","2.15 [1.94, 2.36]","0.123","nonnorm","0.689","26.9"
"Creatinine_value_1 (median [IQR])","87.00 [68.00, 119.00]","81.00 [67.00, 98.75]","92.00 [81.00, 126.00]","0.008","nonnorm","0.172","16.4"
"Platelets_value_1 (median [IQR])","236.00 [173.00, 320.50]","214.00 [161.00, 261.00]","256.00 [235.00, 315.00]","0.004","nonnorm","0.479","19.2"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","7.00 [4.80, 10.35]","5.25 [4.10, 7.23]","10.50 [10.00, 15.55]","<0.001","nonnorm","0.671","25.1"
"Oxygen_therapy_1 = Yes (%)","178 (78.1)","169 (96.6)","0 (NaN)","NaN","","NaN","20.2"
"length_of_oxygen (median [IQR])","3.00 [1.00, 6.00]","5.00 [2.50, 11.00]","0.00 [0.00, 0.00]","<0.001","nonnorm","0.212","26.9"
"antibiotic_seven_days = Yes (%)","225 (94.9)","74 (42.3)","3 (3.2)","<0.001","","2.346","0.0"
"length_of_stay (median [IQR])","4.50 [3.00, 8.00]","5.00 [3.00, 10.00]","0.00 [0.00, 0.00]","<0.001","nonnorm","0.300","5.1"
"ICU_Medium_Care_admission_1 = Yes (%)","11 (4.8)","40 (22.9)","0 (NaN)","NaN","","NaN","20.2"
"icu_stay (median [IQR])","2.00 [1.00, 6.25]","9.00 [5.00, 14.00]","0.00 [0.00, 0.00]","<0.001","nonnorm","1.190","83.8"
"Non_invasive_ventilation_1 = Yes (%)","10 (4.4)","12 (6.9)","0 (NaN)","NaN","","NaN","20.2"
"Invasive_ventilation_1 = Yes (%)","2 (0.9)","28 (16.0)","0 (NaN)","NaN","","NaN","20.2"
"lenght_of_intubation (median [IQR])","9.00 [8.00, 10.00]","6.50 [3.00, 13.50]","0.00 [0.00, 0.00]","<0.001","nonnorm","1.978","87.5"
"bacteremia = Yes (%)","1 (0.4)","14 (8.0)","0 (0.0)","<0.001","","0.298","7.9"
"pathogen_cultured = 1 (%)","96 (44.0)","175 (100.0)","0 (NaN)","NaN","","NaN","22.2"
"hospdeath = 1 (%)","11 (4.6)","20 (11.4)","0 (0.0)","<0.001","","0.357","0.0"
"mortality_d30 = 1 (%)","10 (4.2)","19 (10.9)","0 (0.0)","0.001","","0.348","0.0"
"mortality_d90 = 1 (%)","11 (4.6)","19 (10.9)","0 (0.0)","0.001","","0.347","0.0"
