"tablename","aureus","haemo","influenza","mixed_infection","other","pathogen_negative","Strep","untested","p","test","SMD","Missing"
"n","5","7","13","24","25","117","21","9","","","",""
"inclusion_hospital (%)","","","","","","","","","0.011","","1.433","45.7"
"   AMC","0 (0.0)","1 (50.0)","1 (14.3)","5 (55.6)","4 (36.4)","7 (9.9)","2 (22.2)","0 (0.0)","","","",""
"   BovenIJ","1 (50.0)","1 (50.0)","1 (14.3)","0 (0.0)","2 (18.2)","25 (35.2)","2 (22.2)","2 (22.2)","","","",""
"   Flevoziekenhuis","0 (0.0)","0 (0.0)","1 (14.3)","2 (22.2)","1 (9.1)","30 (42.3)","4 (44.4)","4 (44.4)","","","",""
"   VUMC","1 (50.0)","0 (0.0)","4 (57.1)","2 (22.2)","4 (36.4)","9 (12.7)","1 (11.1)","3 (33.3)","","","",""
"sampling_time (median [IQR])","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [0.75, 1.00]","0.679","nonnorm","0.252","0.5"
"age_yrs (median [IQR])","66.00 [62.00, 75.00]","72.00 [68.50, 76.50]","68.00 [61.00, 80.00]","57.00 [45.75, 71.00]","64.00 [59.00, 75.00]","72.00 [60.00, 80.00]","62.00 [58.00, 71.00]","67.00 [64.00, 76.75]","0.208","nonnorm","0.346","0.5"
"gender = Male (%)","2 (40.0)","5 (71.4)","8 (61.5)","16 (66.7)","16 (64.0)","65 (55.6)","10 (47.6)","6 (75.0)","0.717","","0.300","0.5"
"ethnic_group#White = 1 (%)","5 (100.0)","5 (71.4)","12 (92.3)","17 (73.9)","17 (68.0)","94 (81.0)","17 (81.0)","5 (83.3)","0.585","","0.373","2.3"
"BMI (median [IQR])","24.08 [21.71, 26.01]","28.73 [22.77, 33.17]","23.39 [22.65, 29.12]","23.09 [20.94, 27.01]","26.66 [23.62, 30.91]","25.64 [22.58, 28.82]","25.48 [23.58, 29.57]","25.70 [20.67, 34.87]","0.441","nonnorm","0.382","10.9"
"symptom_days (median [IQR])","3.00 [2.00, 7.00]","3.00 [2.50, 9.50]","4.00 [2.00, 6.00]","5.50 [3.00, 8.00]","2.00 [1.00, 5.00]","4.00 [2.00, 7.00]","3.00 [1.00, 5.00]","3.00 [1.00, 4.25]","0.418","nonnorm","0.273","0.9"
"CCI (median [IQR])","6.00 [5.00, 7.00]","7.00 [5.00, 10.00]","6.00 [4.00, 8.00]","4.50 [4.00, 6.00]","5.00 [4.00, 6.00]","6.00 [4.00, 7.00]","5.00 [3.00, 6.00]","4.50 [3.75, 6.00]","0.085","nonnorm","0.526","0.5"
"hypertension = Yes (%)","4 (80.0)","4 (57.1)","8 (61.5)","8 (33.3)","2 (8.0)","50 (42.7)","6 (28.6)","1 (11.1)","0.002","","0.739","0.0"
"cpd = Yes (%)","1 (20.0)","6 (85.7)","9 (69.2)","11 (45.8)","14 (56.0)","55 (47.0)","11 (52.4)","7 (87.5)","0.085","","0.622","0.5"
"COPD = Yes (%)","1 (20.0)","4 (57.1)","7 (53.8)","6 (25.0)","7 (28.0)","38 (32.5)","6 (28.6)","3 (33.3)","0.542","","0.327","0.0"
"diabetes = 1 (%)","0 (0.0)","4 (57.1)","2 (15.4)","3 (12.5)","6 (24.0)","24 (20.5)","6 (28.6)","2 (22.2)","0.258","","0.485","0.0"
"ccd = Yes (%)","5 (100.0)","5 (71.4)","11 (84.6)","15 (62.5)","18 (72.0)","79 (67.5)","10 (47.6)","2 (25.0)","0.044","","0.681","0.5"
"ckd = Yes (%)","1 (20.0)","1 (14.3)","1 (7.7)","1 (4.2)","5 (20.0)","15 (12.8)","3 (14.3)","0 (0.0)","0.685","","0.300","0.0"
"mneoplasm = Yes (%)","3 (60.0)","4 (57.1)","4 (30.8)","8 (33.3)","3 (12.0)","29 (24.8)","3 (14.3)","1 (12.5)","0.087","","0.518","0.5"
"immune_sup = Yes (%)","0 (0.0)","1 (14.3)","1 (7.7)","7 (29.2)","9 (36.0)","14 (12.0)","3 (14.3)","0 (0.0)","0.033","","0.466","0.5"
"cnd = Yes (%)","1 (20.0)","0 (0.0)","0 (0.0)","3 (12.5)","3 (12.0)","7 (6.0)","0 (0.0)","1 (12.5)","0.411","","0.347","0.5"
"qSOFA_score (median [IQR])","1.00 [0.00, 2.00]","1.00 [0.50, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 2.00]","1.00 [0.50, 1.00]","1.00 [0.00, 1.00]","1.00 [1.00, 1.00]","1.00 [0.50, 1.00]","0.245","nonnorm","0.254","2.7"
"MEWS_score (median [IQR])","3.00 [3.00, 5.00]","3.00 [2.00, 5.00]","3.00 [2.00, 4.00]","3.50 [1.75, 5.00]","3.00 [2.00, 5.00]","3.00 [1.25, 5.00]","3.00 [3.00, 5.00]","2.00 [1.50, 4.00]","0.835","nonnorm","0.230","3.2"
"CURB_score (median [IQR])","2.00 [1.00, 3.00]","1.00 [1.00, 2.00]","1.00 [1.00, 2.00]","1.50 [0.75, 2.00]","1.00 [0.00, 2.00]","1.00 [1.00, 2.00]","1.50 [1.00, 2.00]","1.00 [1.00, 1.50]","0.959","nonnorm","0.221","3.2"
"PSI_new (%)","","","","","","","","","0.363","","0.931","11.3"
"   1","0 (0.0)","0 (0.0)","2 (15.4)","2 (8.3)","2 (8.7)","3 (2.9)","1 (6.2)","0 (0.0)","","","",""
"   2","2 (40.0)","0 (0.0)","1 (7.7)","2 (8.3)","2 (8.7)","11 (10.8)","2 (12.5)","0 (0.0)","","","",""
"   3","0 (0.0)","1 (16.7)","1 (7.7)","8 (33.3)","3 (13.0)","24 (23.5)","0 (0.0)","1 (14.3)","","","",""
"   4","1 (20.0)","2 (33.3)","7 (53.8)","9 (37.5)","11 (47.8)","47 (46.1)","11 (68.8)","4 (57.1)","","","",""
"   5","2 (40.0)","3 (50.0)","2 (15.4)","3 (12.5)","5 (21.7)","17 (16.7)","2 (12.5)","2 (28.6)","","","",""
"crp_1_1 (median [IQR])","87.00 [29.00, 104.00]","64.90 [31.00, 120.15]","103.90 [22.80, 213.20]","160.95 [74.95, 248.55]","95.00 [35.40, 174.70]","112.45 [48.75, 249.00]","318.00 [114.40, 350.00]","156.50 [143.50, 181.25]","0.022","nonnorm","0.470","0.9"
"WBC_2_1 (median [IQR])","8.50 [5.60, 20.90]","13.70 [10.25, 14.60]","12.00 [7.00, 15.80]","10.35 [6.30, 15.05]","10.70 [8.90, 16.60]","12.80 [9.60, 17.52]","17.30 [8.90, 22.90]","12.75 [10.70, 15.17]","0.276","nonnorm","0.280","0.9"
