"tablename","Low","Mid","High","p","test","SMD","Missing"
"n","52","52","52","","","",""
"group = CAP (%)","52 (100.0)","52 (100.0)","52 (100.0)","NA","","<0.001","0.0"
"inclusion_hospital (%)","","","","0.152","","0.514","34.0"
"   AMC","6 (15.4)","9 (25.7)","5 (17.2)","","","",""
"   BovenIJ","5 (12.8)","9 (25.7)","9 (31.0)","","","",""
"   Flevoziekenhuis","21 (53.8)","8 (22.9)","10 (34.5)","","","",""
"   VUMC","7 (17.9)","9 (25.7)","5 (17.2)","","","",""
"sampling_time (median [IQR])","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.774","nonnorm","0.148","0.0"
"age_yrs (median [IQR])","69.50 [59.00, 77.00]","69.50 [55.75, 77.25]","70.00 [61.00, 77.25]","0.802","nonnorm","0.148","0.0"
"gender = Male (%)","30 (57.7)","28 (53.8)","31 (59.6)","0.833","","0.078","0.0"
"ethnic_group#White = 1 (%)","43 (86.0)","40 (78.4)","40 (78.4)","0.537","","0.133","2.6"
"BMI (median [IQR])","24.91 [21.95, 29.93]","25.08 [22.55, 28.49]","25.66 [21.35, 31.05]","0.956","nonnorm","0.088","10.9"
"symptom_days (median [IQR])","3.00 [2.00, 9.50]","4.00 [2.00, 6.00]","4.00 [1.00, 7.00]","0.604","nonnorm","0.180","0.6"
"CCI (median [IQR])","5.00 [4.00, 7.00]","5.00 [3.00, 7.00]","5.00 [4.00, 7.00]","0.923","nonnorm","0.075","0.0"
"hypertension = Yes (%)","22 (42.3)","17 (32.7)","23 (44.2)","0.436","","0.159","0.0"
"cpd = Yes (%)","27 (51.9)","26 (50.0)","30 (57.7)","0.716","","0.103","0.0"
"COPD = Yes (%)","15 (28.8)","15 (28.8)","22 (42.3)","0.243","","0.189","0.0"
"diabetes = 1 (%)","7 (13.5)","14 (26.9)","9 (17.3)","0.200","","0.227","0.0"
"ccd = Yes (%)","32 (61.5)","30 (57.7)","38 (73.1)","0.235","","0.218","0.0"
"ckd = Yes (%)","5 (9.6)","4 (7.7)","10 (19.2)","0.156","","0.229","0.0"
"mneoplasm = Yes (%)","14 (26.9)","12 (23.1)","7 (13.5)","0.223","","0.227","0.0"
"immune_sup = Yes (%)","6 (11.5)","7 (13.5)","1 (1.9)","0.088","","0.298","0.0"
"cnd = Yes (%)","3 (5.8)","6 (11.5)","2 (3.8)","0.280","","0.196","0.0"
"qSOFA_score (median [IQR])","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [1.00, 1.00]","0.004","nonnorm","0.457","3.2"
"MEWS_score (median [IQR])","2.00 [1.00, 4.00]","2.00 [1.00, 4.00]","4.00 [2.50, 5.00]","<0.001","nonnorm","0.507","3.8"
"CURB_score (median [IQR])","1.00 [1.00, 2.00]","1.00 [1.00, 2.00]","1.50 [1.00, 2.25]","0.254","nonnorm","0.217","3.8"
"PSI_new (median [IQR])","4.00 [3.00, 4.00]","4.00 [3.00, 4.00]","4.00 [4.00, 5.00]","0.111","nonnorm","0.282","14.1"
"crp_1_1 (median [IQR])","74.50 [28.75, 155.75]","150.50 [64.18, 215.00]","200.80 [102.50, 328.62]","<0.001","nonnorm","0.517","0.0"
"WBC_2_1 (median [IQR])","11.70 [9.60, 15.15]","13.70 [8.48, 17.68]","13.50 [9.30, 19.92]","0.529","nonnorm","0.195","0.6"
"Neutrophil_unit_1 (median [IQR])","9.70 [6.37, 11.35]","10.40 [5.90, 13.97]","11.78 [7.68, 18.02]","0.027","nonnorm","0.428","14.7"
"Lymphocyte_1_1 (median [IQR])","1.17 [0.90, 1.80]","0.90 [0.60, 1.39]","0.70 [0.56, 1.12]","0.001","nonnorm","0.222","11.5"
"Creatinine_value_1 (median [IQR])","82.50 [63.75, 112.00]","86.00 [67.75, 122.00]","96.00 [81.75, 124.50]","0.155","nonnorm","0.289","0.0"
"Platelets_value_1 (median [IQR])","234.00 [178.50, 341.50]","235.50 [169.25, 304.00]","239.00 [177.50, 319.00]","0.655","nonnorm","0.170","2.6"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","5.95 [4.53, 8.90]","7.10 [4.60, 8.80]","8.40 [5.80, 11.00]","0.039","nonnorm","0.283","11.5"
"Oxygen_therapy_1 = Yes (%)","39 (75.0)","36 (70.6)","44 (84.6)","0.225","","0.227","0.6"
"length_of_oxygen (median [IQR])","2.00 [1.00, 4.00]","2.00 [1.00, 5.00]","3.50 [1.00, 6.50]","0.258","nonnorm","0.218","25.0"
"antibiotic_seven_days = Yes (%)","50 (96.2)","51 (98.1)","50 (96.2)","0.813","","0.077","0.0"
"length_of_stay (median [IQR])","3.00 [2.00, 7.00]","4.00 [2.00, 7.00]","5.00 [3.00, 10.00]","0.019","nonnorm","0.274","2.6"
"ICU_Medium_Care_admission_1 = Yes (%)","0 (0.0)","1 (2.0)","7 (13.5)","0.004","","0.400","0.6"
"icu_stay (median [IQR])","NA [NA, NA]","16.00 [16.00, 16.00]","1.00 [1.00, 3.25]","0.120","nonnorm","NA","95.5"
"Non_invasive_ventilation_1 = Yes (%)","0 (0.0)","1 (2.0)","4 (7.7)","0.070","","0.293","0.6"
"Invasive_ventilation_1 = Yes (%)","0 (0.0)","1 (2.0)","1 (1.9)","0.600","","0.134","0.6"
"lenght_of_intubation (median [IQR])","NA [NA, NA]","11.00 [11.00, 11.00]","7.00 [7.00, 7.00]","0.317","nonnorm","NA","98.7"
"bacteremia = No (%)","52 (100.0)","52 (100.0)","52 (100.0)","NA","","<0.001","0.0"
"pathogen_cultured = 1 (%)","17 (35.4)","21 (43.8)","24 (47.1)","0.485","","0.159","5.8"
"hospdeath = 1 (%)","2 (3.8)","0 (0.0)","5 (9.6)","0.058","","0.325","0.0"
"mortality_d30 = 1 (%)","2 (3.8)","0 (0.0)","4 (7.7)","0.125","","0.286","0.0"
"mortality_d90 = 1 (%)","2 (3.8)","0 (0.0)","5 (9.6)","0.058","","0.325","0.0"
"SRSq7_group (%)","","","","<0.001","","NaN","0.0"
"   Low","52 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   Mid","0 (0.0)","52 (100.0)","0 (0.0)","","","",""
"   High","0 (0.0)","0 (0.0)","52 (100.0)","","","",""
