"tablename","Overall","Missing"
"n","93",""
"inclusion_hospital = Healthy (%)","91 (100.0)","2.2"
"age_yrs (median [IQR])","65.00 [57.75, 73.00]","1.1"
"gender = Male (%)","55 (59.8)","1.1"
"ethnic_group#White = 1 (%)","80 (87.0)","1.1"
"BMI (median [IQR])","25.80 [24.33, 28.80]","10.8"
"symptom_days (median [IQR])","0.00 [0.00, 0.00]","15.1"
"CCI (median [IQR])","5.00 [4.00, 7.00]","44.1"
"hypertension = Yes (%)","36 (39.1)","1.1"
"cpd = Yes (%)","10 (11.0)","2.2"
"COPD = Yes (%)","3 (3.3)","1.1"
"diabetes = 1 (%)","10 (10.9)","1.1"
"ccd = Yes (%)","52 (57.1)","2.2"
"ckd = Yes (%)","9 (9.8)","1.1"
"mneoplasm = Yes (%)","15 (16.5)","2.2"
"immune_sup = Yes (%)","6 (6.6)","2.2"
"cnd = Yes (%)","2 (2.2)","2.2"
"crp_1_1 (median [IQR])","31.50 [1.60, 46.10]","94.6"
"WBC_2_1 (median [IQR])","7.00 [4.95, 10.00]","91.4"
"Neutrophil_unit_1 (median [IQR])","4.80 [4.80, 4.80]","98.9"
"Lymphocyte_1_1 (median [IQR])","2.15 [1.94, 2.36]","97.8"
"Creatinine_value_1 (median [IQR])","92.00 [81.00, 126.00]","81.7"
"Platelets_value_1 (median [IQR])","256.00 [235.00, 315.00]","90.3"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","10.50 [10.00, 15.55]","96.8"
"antibiotic_seven_days = Yes (%)","3 (3.2)","0.0"
"length_of_stay (median [IQR])","0.00 [0.00, 0.00]","16.1"
"hospdeath = 0 (%)","93 (100.0)","0.0"
"mortality_d30 = 0 (%)","93 (100.0)","0.0"
"mortality_d90 = 0 (%)","93 (100.0)","0.0"
