"tablename","Low","Mid","High","p","test","SMD","Missing"
"n","52","52","52","","","",""
"group = CAP (%)","52 (100.0)","52 (100.0)","52 (100.0)","NA","","<0.001","0.0"
"inclusion_hospital (%)","","","","0.859","","0.272","34.0"
"   AMC","5 (15.2)","9 (25.7)","6 (17.1)","","","",""
"   BovenIJ","6 (18.2)","8 (22.9)","9 (25.7)","","","",""
"   Flevoziekenhuis","14 (42.4)","11 (31.4)","14 (40.0)","","","",""
"   VUMC","8 (24.2)","7 (20.0)","6 (17.1)","","","",""
"sampling_time (median [IQR])","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [0.00, 1.00]","0.046","nonnorm","0.124","0.0"
"age_yrs (median [IQR])","67.00 [54.75, 74.25]","71.00 [60.00, 77.00]","70.50 [61.00, 78.25]","0.248","nonnorm","0.255","0.0"
"gender = Male (%)","28 (53.8)","30 (57.7)","31 (59.6)","0.833","","0.078","0.0"
"ethnic_group#White = 1 (%)","40 (78.4)","39 (79.6)","44 (84.6)","0.697","","0.107","2.6"
"BMI (median [IQR])","25.88 [22.64, 32.08]","24.84 [21.26, 28.73]","24.92 [21.90, 28.32]","0.481","nonnorm","0.214","10.9"
"symptom_days (median [IQR])","4.00 [2.00, 7.25]","4.00 [2.00, 7.25]","3.00 [1.00, 5.00]","0.060","nonnorm","0.278","0.6"
"CCI (median [IQR])","5.00 [3.00, 7.00]","5.00 [4.00, 6.00]","6.00 [4.00, 7.00]","0.314","nonnorm","0.125","0.0"
"hypertension = Yes (%)","20 (38.5)","21 (40.4)","21 (40.4)","0.974","","0.026","0.0"
"cpd = Yes (%)","23 (44.2)","30 (57.7)","30 (57.7)","0.283","","0.181","0.0"
"COPD = Yes (%)","11 (21.2)","19 (36.5)","22 (42.3)","0.061","","0.310","0.0"
"diabetes = 1 (%)","8 (15.4)","14 (26.9)","8 (15.4)","0.226","","0.190","0.0"
"ccd = Yes (%)","31 (59.6)","35 (67.3)","34 (65.4)","0.696","","0.107","0.0"
"ckd = Yes (%)","6 (11.5)","4 (7.7)","9 (17.3)","0.320","","0.196","0.0"
"mneoplasm = Yes (%)","14 (26.9)","9 (17.3)","10 (19.2)","0.446","","0.155","0.0"
"immune_sup = Yes (%)","9 (17.3)","3 (5.8)","2 (3.8)","0.034","","0.302","0.0"
"cnd = Yes (%)","4 (7.7)","4 (7.7)","3 (5.8)","0.907","","0.051","0.0"
"qSOFA_score (median [IQR])","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","0.391","nonnorm","0.160","3.2"
"MEWS_score (median [IQR])","2.00 [1.00, 4.00]","3.00 [2.00, 5.00]","3.00 [2.00, 5.00]","0.060","nonnorm","0.303","3.8"
"CURB_score (median [IQR])","1.00 [0.25, 2.00]","1.00 [1.00, 2.00]","1.00 [1.00, 2.00]","0.291","nonnorm","0.186","3.8"
"PSI_new (median [IQR])","4.00 [3.00, 4.00]","4.00 [4.00, 4.00]","4.00 [4.00, 5.00]","0.201","nonnorm","0.277","14.1"
"crp_1_1 (median [IQR])","107.00 [41.00, 197.65]","129.15 [61.75, 198.65]","171.00 [58.75, 328.62]","0.126","nonnorm","0.262","0.0"
"WBC_2_1 (median [IQR])","11.10 [9.40, 15.60]","13.20 [8.47, 16.85]","14.35 [10.62, 20.00]","0.075","nonnorm","0.200","0.6"
"Neutrophil_unit_1 (median [IQR])","9.00 [7.16, 11.20]","9.80 [6.10, 13.62]","11.95 [8.90, 17.92]","0.005","nonnorm","0.481","14.7"
"Lymphocyte_1_1 (median [IQR])","1.19 [0.80, 1.80]","0.90 [0.60, 1.20]","0.76 [0.54, 1.19]","0.003","nonnorm","0.204","11.5"
"Creatinine_value_1 (median [IQR])","83.50 [65.75, 106.50]","90.50 [66.25, 124.50]","93.00 [78.00, 124.25]","0.223","nonnorm","0.285","0.0"
"Platelets_value_1 (median [IQR])","234.00 [169.50, 319.00]","207.00 [156.50, 320.00]","251.00 [186.00, 325.25]","0.410","nonnorm","0.117","2.6"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","5.30 [4.43, 9.40]","7.50 [5.50, 10.08]","7.65 [6.00, 10.62]","0.131","nonnorm","0.240","11.5"
"Oxygen_therapy_1 = Yes (%)","34 (65.4)","44 (86.3)","41 (78.8)","0.039","","0.334","0.6"
"length_of_oxygen (median [IQR])","2.00 [1.00, 3.75]","3.00 [1.00, 6.00]","2.50 [1.00, 6.00]","0.259","nonnorm","0.288","25.0"
"antibiotic_seven_days = Yes (%)","50 (96.2)","52 (100.0)","49 (94.2)","0.235","","0.241","0.0"
"length_of_stay (median [IQR])","4.00 [2.00, 5.25]","4.00 [3.00, 7.50]","5.00 [3.00, 9.00]","0.261","nonnorm","0.221","2.6"
"ICU_Medium_Care_admission_1 = Yes (%)","1 (1.9)","4 (7.8)","3 (5.8)","0.386","","0.187","0.6"
"icu_stay (median [IQR])","16.00 [16.00, 16.00]","1.00 [0.75, 1.75]","6.00 [3.50, 8.50]","0.211","nonnorm","NA","95.5"
"Non_invasive_ventilation_1 = Yes (%)","1 (1.9)","1 (2.0)","3 (5.8)","0.444","","0.134","0.6"
"Invasive_ventilation_1 = Yes (%)","1 (1.9)","0 (0.0)","1 (1.9)","0.608","","0.132","0.6"
"lenght_of_intubation (median [IQR])","11.00 [11.00, 11.00]","NA [NA, NA]","7.00 [7.00, 7.00]","0.317","nonnorm","NA","98.7"
"bacteremia = No (%)","52 (100.0)","52 (100.0)","52 (100.0)","NA","","<0.001","0.0"
"pathogen_cultured = 1 (%)","19 (38.0)","22 (47.8)","21 (41.2)","0.612","","0.133","5.8"
"hospdeath = 1 (%)","1 (1.9)","2 (3.8)","4 (7.7)","0.351","","0.184","0.0"
"mortality_d30 = 1 (%)","1 (1.9)","2 (3.8)","3 (5.8)","0.595","","0.135","0.0"
"mortality_d90 = 1 (%)","1 (1.9)","2 (3.8)","4 (7.7)","0.351","","0.184","0.0"
"MS1_group (%)","","","","<0.001","","NaN","0.0"
"   Low","52 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   Mid","0 (0.0)","52 (100.0)","0 (0.0)","","","",""
"   High","0 (0.0)","0 (0.0)","52 (100.0)","","","",""
