genesymbols	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
A1BG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1BG.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2M.AS1	1	1	1	1	1	1	1	1	1	1	1	29.4991218783367	1	1	1	1	1	1	1	1	1	1	30.7185651876727
AAAS	34.1460278442631	1	16.3145925263856	19.8325431887418	1	1	1	1	45.0700180854876	1	1	31.7778272619409	31.3730790917026	1	1	1	1	1	1	21.9187173079227	11.8681501904613	12.2421331345187	89.9809392113908
AACS	10.5385994670203	1	1	9.04570836286628	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17.136910734852	1	14.9482429602826	28.5520044083207
AAGAB	22.545546479383	1	60.0999722171513	22.4735669501719	1	1	36.5583072909396	18.5963315413522	1	1	1	1	28.0780225810899	39.8180601134162	32.1905536842944	1	1	23.4306427461022	35.0348495852267	24.0407682299517	24.2660727870883	45.1395730864088	37.1409215207108
AAK1	32.3123857293293	168.735803648538	168.032824503732	34.6545604449003	21.1749011217779	40.1155825447529	145.580137631163	86.4228015722873	1	79.8872436899034	35.5127142403587	1	139.431839153501	113.368086070093	190.655010818434	55.3646759179135	107.816201155564	31.6635784463876	47.0581959110749	39.5159038851499	50.5993660199276	45.9925094015668	24.1722859460086
AAMDC	1	1	1	27.3575064648343	1	1	1	1	1	1	1	11.8485467528924	1	1	1	1	1	1	1	16.7875947739506	15.6903418986235	10.1129651398662	1
AAMP	83.4593074907163	57.2080277138254	66.2704877917462	97.284854101194	1	1	72.2458799194865	1	96.1665368150935	42.1756642022925	40.8631991868561	69.5686081491754	45.149083226714	87.1579949067483	53.3339420301194	1	1	21.0036675857147	94.6989739583719	40.2042753006973	13.5708918892617	79.3513909051003	42.2872024788037
AAR2	13.2448087841028	1	8.8778206460233	13.9120871697388	1	1	14.0263709973	1	1	1	1	24.9415434471717	19.3444435261498	19.420619810995	23.8699484715574	1	1	1	23.8765052759079	1	1	16.0478422993822	1
AARD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AARS1	167.515198618327	60.6008177555877	51.9486890844694	13.9885985076827	1	1	36.3280820885101	1	32.3309759328422	1	1	35.366985736942	43.5722825641765	23.3982310874186	49.3784346652656	1	1	1	22.4674668067055	63.3462521751643	1	29.0746241526714	45.6707763780934
AARS2	16.0616910289828	1	1	1	1	1	22.0643017684151	1	1	1	1	24.5386358652527	1	1	1	1	1	1	1	18.7456783857827	1	19.6807857837388	18.9979977598126
AARSD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AASDH	10.5781982225555	38.6715134093412	16.1589192080832	11.8708718804612	1	1	36.2036837619466	1	35.8382746014903	1	1	26.0564084856721	20.9216383302831	1	23.4897384083214	1	1	23.399075232994	1	27.2563688209825	14.9897082293248	11.3519864349225	36.8037952022914
AASDHPPT	63.8635312418447	92.3724087470932	69.7535242863252	48.7136234458247	1	1	69.3259170868514	24.4536494624018	115.603943381689	51.9535341312259	1	85.7669439486442	54.6305627820289	94.5636519595706	122.968734728542	1	1	15.8432891201177	36.3339776089253	35.3962217255449	1	67.6868399690514	45.3649162242499
AASS	1	1	1	1	1	1	1	1	1	1	1	53.7148869983402	1	1	1	1	1	1	1	1	1	1	1
AATBC	1	1	1	11.5580929761471	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.2849518152694	1	1	1	1
AATF	20.4030698442817	40.6864157206941	36.5511304154684	30.5021392746374	1	1	55.148964654223	26.2251413917423	42.0016093212765	28.1320267321825	1	41.6573640617199	32.3024877779851	21.0527537175609	35.3373594282924	54.229064168572	1	32.6249620441784	32.5187313278388	32.8511541818038	23.9153132316782	32.2355584188752	28.5520044083207
AATK	1	1	1	1	34.4001092094238	49.8447967957012	1	15.2475777000402	1	1	47.1317704470309	1	1	1	1	95.5376093733747	1	15.7606088948431	1	1	27.3791798951528	1	1
ABAT	1	1	1	19.5230641208459	36.6576632206478	36.9452207294556	17.8352868390173	22.0088437757624	1	1	56.116755683897	16.8459419401801	1	1	20.1159461038292	1	1	17.6948720911026	12.820942787392	1	27.029064167725	8.85536390581915	1
ABCA1	1	1	1	17.8397199468775	56.3893105454083	118.209239737268	1	19.8282367025984	1	56.3280182553208	171.58435731239	1	1	1	1	128.996806855883	1	1	87.0387241733084	1	61.9051681987654	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA11P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	168.060545673205	1	212.234446774102	1	1	1
ABCA17P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA2	1	1	21.1406774088473	1	1	1	18.1393737267744	1	1	1	1	19.0780537252277	1	43.8750573068863	41.1925132006915	55.4128388248712	1	1	1	1	1	1	45.2593040323529
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	11.5975514228524	1	12.7719790870744	1	1	1	18.6630315835394	1	1	1	1	16.6381079672066	1	24.9680759683828	40.041203652481	1	1	14.4955695689868	1	29.3841429049547	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA7	39.3712649685588	30.68578630999	15.8949410752105	21.2653805180603	1	49.0930215705688	31.7442755680702	32.1133754335911	48.5013690485211	115.226711832316	125.887372173099	10.4228075064136	23.7850494610526	31.3981550705039	18.1437115690328	69.5979010656166	500.273600146779	43.7258671671669	40.2904450462127	95.2048471877126	45.7067563883486	23.5669133995446	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	16.1165864088535	1	1	1	1	1	1	1	1	41.7498168459347	18.7915042895088	43.6759609872512	71.7051630431908	1	1	1	1	1	1	1	1
ABCB10	42.7378440454293	1	72.5305015089918	10.2652245091776	1	1	20.750025034485	1	1	1	1	17.4076806832377	1	28.948094833079	24.1609928789192	1	1	17.7398086287357	12.2206695852115	34.1210678336615	26.2428685916491	14.9525746709177	1
ABCB11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB4	1	1	1	1	1	1	1	1	36.7468698376574	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
